,0
2000-08-30,-0.007224828142237633
2000-08-31,0.014111348663567256
2000-09-01,0.0025135594456442557
2000-09-05,-0.014092530152290918
2000-09-06,-0.013868022904989875
2000-09-07,0.008156255070356657
2000-09-08,-0.006441470164524402
2000-09-11,-0.005117645560855496
2000-09-12,-0.006664729030455539
2000-09-13,0.002418159625004647
2000-09-14,-0.0037168400655689065
2000-09-15,-0.01361729701591265
2000-09-18,-0.019973975950085855
2000-09-19,0.013756518195186786
2000-09-20,-0.007249306674192511
2000-09-21,-0.0022018919220503203
2000-09-22,-0.00043782997342100156
2000-09-25,-0.00866235967978904
2000-09-26,-0.009744626201705924
2000-09-27,-0.0007319844113226579
2000-09-28,0.024460859036290514
2000-09-29,-0.017059051209118818
2000-10-02,-0.0007365261108918349
2000-10-03,-0.008241506817217156
